latest.student.size,tuition_in_state,latest.cost.tuition.out_of_state,median_debt,latest.aid.median_debt.noncompleters,latest.repayment.3_yr_repayment.overall,earnings_10yr,earnings_6yr,completion_rate,latest.academics.program_percentage.business_marketing,latest.academics.program_percentage.computer,latest.academics.program_percentage.health,latest.academics.program_percentage.social_science,latest.academics.program_percentage.humanities,school_name,state,school.school_url,school.institutional_characteristics.level,debt_to_earnings_ratio
30760,11809.0,41186.0,19000.0,11000.0,7126.0,82860.0,67785.0,0.8859,0.1226,0.2077,0.0543,0.1156,0.0,University of Maryland-College Park,MD,www.umd.edu/,1,0.2802980010326768
30743,14400.0,38190.0,21221.0,9500.0,8801.0,64010.0,50843.0,0.7011,0.1336,0.1573,0.0398,0.0614,0.0073,Oregon State University,OR,https://oregonstate.edu/,1,0.4173829239029955
30594,11954.0,28631.0,20500.0,6500.0,4816.0,61251.0,49218.0,0.6881,0.2185,0.0289,0.0134,0.0773,0.0017,Louisiana State University and Agricultural & Mechanical College,LA,www.lsu.edu/,1,0.4165142833922549
30580,9011.0,22051.0,20500.0,8000.0,11880.0,57131.0,46340.0,0.5264,0.1786,0.1281,0.0538,0.0396,0.0298,The University of Texas at San Antonio,TX,www.utsa.edu/,1,0.4423823910228744
30418,13812.0,33256.0,20500.0,7500.0,6969.0,60249.0,47782.0,0.7392,0.2825,0.0294,0.0647,0.0686,0.0,The University of Tennessee-Knoxville,TN,www.utk.edu/,1,0.4290318529990373
30197,15722.0,49922.0,15000.0,9816.0,6357.0,80735.0,56210.0,0.8687,0.1174,0.0941,0.0616,0.1598,0.0,University of California-Irvine,CA,www.uci.edu/,1,0.26685643123999286
29882,13976.0,29310.0,21250.0,6250.0,14511.0,54810.0,48310.0,0.7496,0.1815,0.0708,0.1457,0.0294,0.0055,University of Cincinnati-Main Campus,OH,www.uc.edu/,1,0.4398675222521217
29820,12688.0,35972.0,21500.0,7750.0,7517.0,62177.0,50621.0,0.7882,0.2533,0.0483,0.1228,0.058,0.0202,University of South Carolina-Columbia,SC,www.sc.edu/,1,0.42472491653661526
28677,10104.0,29966.0,21500.0,8066.0,5113.0,58191.0,49686.0,0.7052,0.2951,0.0258,0.1072,0.042,0.0,University of Arkansas,AR,https://www.uark.edu/,1,0.43271746568449865
28666,9987.0,19827.0,12950.0,5750.0,5733.0,49620.0,35812.0,0.509,0.1139,0.0372,0.1123,0.0352,0.0012,The University of Texas Rio Grande Valley,TX,www.utrgv.edu/,1,0.3616106333072713
28663,62796.0,62796.0,20500.0,11000.0,6597.0,82509.0,64543.0,0.8757,0.1284,0.0934,0.0694,0.1334,0.0838,New York University,NY,https://www.nyu.edu/,1,0.31761771222285917
28350,8018.0,20618.0,15000.0,8250.0,9117.0,64876.0,51074.0,0.5629,0.1318,0.0463,0.1449,0.0914,0.0192,California State University-Sacramento,CA,https://www.csus.edu/,1,0.2936915064416337
28086,12750.0,12750.0,29832.0,9500.0,28730.0,37180.0,30406.0,0.1878,0.654,0.1028,0.1662,0.0,0.0,Colorado Technical University-Colorado Springs,CO,www.coloradotech.edu/Colorado-Springs,1,0.9811221469446819
27752,14220.0,38688.0,19500.0,8750.0,7319.0,76343.0,60536.0,0.6784,0.1954,0.1334,0.081,0.0687,0.0643,George Mason University,VA,https://www.gmu.edu/,1,0.3221223734637241
27601,8410.0,21010.0,15000.0,12000.0,6968.0,78988.0,62448.0,0.6922,0.2565,0.0372,0.0591,0.0613,0.0084,San Jose State University,CA,www.sjsu.edu/,1,0.2401998462720984
27371,8799.0,32847.0,20121.0,9250.0,7030.0,68758.0,57623.0,0.8476,0.1703,0.0548,0.0,0.049,0.0048,North Carolina State University at Raleigh,NC,www.ncsu.edu/,1,0.3491834857608941
27264,9620.0,30860.0,19000.0,9500.0,7622.0,67170.0,55239.0,0.6505,0.142,0.0918,0.0542,0.1363,0.0,University of Utah,UT,www.utah.edu/,1,0.34395988341570266
26816,12890.0,34922.0,21000.0,8750.0,5271.0,65337.0,54629.0,0.8195,0.2607,0.0333,0.061,0.0284,0.0019,Auburn University,AL,www.auburn.edu/,1,0.3844112101631002
26623,8664.0,24840.0,20903.0,8354.0,11839.0,47384.0,37844.0,0.5306,0.1885,0.1348,0.0654,0.0757,0.0,Georgia State University,GA,www.gsu.edu/,1,0.5523464750026424
25777,26906.0,26906.0,27000.0,7381.0,18639.0,38219.0,31917.0,0.4433,0.0202,0.0636,0.0,0.0,0.0,Full Sail University,FL,www.fullsail.edu/,1,0.8459441676849327
